m,c
0.12820982270644302,0.44815606844950723
0.18978224223049828,0.44815606844950723
0.03800996927656998,0.44815606844950723
-0.04788745755067583,0.44815606844950723
0.7151413041847116,0.44815606844950723
0.8032554449884641,0.44815606844950723
0.37014888812313085,0.44815606844950723
0.3840574352049873,0.44815606844950723
0.7419928779178974,0.44815606844950723
0.31526913054429373,0.44815606844950723
0.08128025281269548,0.44815606844950723
1.068900785928307,0.44815606844950723
0.9075824036196867,0.44815606844950723
