m,c
0.7323785223595906,0.1654548269886201
0.6261919884288378,0.1654548269886201
0.24947215508244458,0.1654548269886201
-9.868954719830189,0.1654548269886201
0.30456099148131294,0.1654548269886201
0.028745043739376853,0.1654548269886201
20.171829638243548,0.1654548269886201
0.47541808291463983,0.1654548269886201
0.8072129020511799,0.1654548269886201
0.24051409457435163,0.1654548269886201
0.6302169279214427,0.1654548269886201
7.654852433998121,0.1654548269886201
0.2445134969458406,0.1654548269886201
